,trialNum,trialId,itiPeriod,samplePeriod,xSpeed,ySpeed,speed,time,xPosition,yPosition,fraction,corPos,corWidth,licks,water,scimFileNum,scimFrameNum,trialType,wallDistOL
43,0.0,15,0.0,1.0,22.67656136,44.01922226,49.51684952,6.05633802817,5.197999954,90.23184967,0.6497499943,16.0,30.0,0.0,0.0,0,43,OL_16R,16.0
44,0.0,15,0.0,1.0,17.48937416,0.5425407887,17.49778748,6.19718309859,5.340000153,91.90779877,0.6675000191,16.0,30.0,0.0,0.0,0,44,OL_16R,16.0
45,0.0,15,0.0,1.0,3.534847021,0.1834510267,3.539604187,6.33802816901,5.480000019,93.11145782,0.6850000024,16.0,30.0,0.0,0.0,0,45,OL_16R,16.0
46,0.0,15,0.0,1.0,8.501194,35.56332016,36.56528473,6.47887323944,5.619999886,94.65814972,0.7024999857,16.0,30.0,0.0,0.0,0,46,OL_16R,16.0
47,0.0,15,0.0,1.0,38.35049438,27.18291664,47.00714111,6.61971830986,5.762000084,98.31668854,0.7202500105,16.0,30.0,0.0,0.0,0,47,OL_16R,16.0
48,0.0,15,0.0,1.0,0.7264775634,14.7563467,14.77421856,6.76056338028,5.90199995,99.99615479,0.7377499938,16.0,30.0,0.0,0.0,0,48,OL_16R,16.0
49,0.0,15,0.0,0.0,6.07649374,30.60424805,31.20166206,6.9014084507,6.044000149,100.114296,0.7555000186,15.89999962,30.0,0.0,0.0,0,49,OL_16R,16.0
50,0.0,15,0.0,0.0,0.6287428737,12.49209023,12.5079031,7.04225352113,6.184000015,100.7504807,0.7730000019,15.80000019,30.0,0.0,0.0,0,50,OL_16R,16.0
51,0.0,15,0.0,0.0,7.903104305,22.17051697,23.5370121,7.18309859155,6.323999882,100.8239594,0.7904999852,15.60000038,30.0,0.0,0.0,0,51,OL_16R,16.0
52,0.0,15,0.0,0.0,1.181149006,2.280563354,2.568283796,7.32394366197,6.46600008,102.9180222,0.80825001,15.5,30.0,0.0,0.0,0,52,OL_16R,16.0
53,0.0,15,0.0,0.0,4.182655334,36.83086395,37.06760406,7.46478873239,6.605999947,103.0896454,0.8257499933,15.30000019,30.0,0.0,0.0,0,53,OL_16R,16.0
54,0.0,15,0.0,0.0,21.66479111,23.12992287,31.69158363,7.60563380282,6.745999813,104.6190338,0.8432499766,15.19999981,30.0,0.0,0.0,0,54,OL_16R,16.0
55,0.0,15,0.0,0.0,0.4103122354,4.813042641,4.830500603,7.74647887324,6.888000011,106.8933868,0.8610000014,15.10000038,30.0,0.0,0.0,0,55,OL_16R,16.0
