,label,0.0,3.0,6.0,9.0,12.0,15.0,18.0
27.0,numTrials,31.0,34.0,36.0,36.0,36.0,36.0,1.0
27.0,stdRate,5.8514106459,10.3469256949,9.02552320658,9.82307156943,16.3392358772,8.97905030366,
28.0,meanRate,6.18004606626,7.5026958619,7.73492892579,7.74408003146,5.4707508308,4.00713469127,0.0
28.0,numTrials,31.0,34.0,36.0,36.0,36.0,36.0,1.0
28.0,stdRate,2.83798915,4.92664427395,4.65445003374,6.36345916132,5.25763586635,5.37839880095,
29.0,meanRate,1.19941911082,1.14000514037,0.592800894349,0.611163548164,1.64885029341,2.27502502496,0.0
29.0,numTrials,31.0,34.0,36.0,36.0,36.0,36.0,1.0
29.0,stdRate,1.6072037605,1.52111070292,1.26308478351,1.45736826684,3.52622056928,4.26789154578,
30.0,meanRate,0.409173082938,0.655332212745,1.69203402513,2.85544521364,4.90370423493,2.03103372063,0.0
30.0,numTrials,31.0,34.0,36.0,36.0,36.0,36.0,1.0
30.0,stdRate,0.432283827058,1.01717412313,2.11592136984,2.5705084956,5.74655533407,3.28773235695,
