,label,0.0,5.0,10.0,15.0,20.0,25.0
43,stdRate,0.0530104262922,0.0911229125436,,,,
44,meanRate,0.215288666908,0.169049013086,-0.0200906873011,0.00808299501402,0.082617588391,-0.184190655286
44,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
44,stdRate,0.14462161911,0.226410585782,,,,
45,meanRate,0.131778325657,0.342168686189,0.00627866245235,-0.233371026628,-0.283342844365,0.100238739583
45,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
45,stdRate,0.266998946201,0.480596640777,,,,
46,meanRate,0.193896940138,0.28975051098,0.0769318166604,0.0454250486697,-0.0585558800748,-0.072679291767
46,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
46,stdRate,0.286099536517,0.315274723198,,,,
47,meanRate,0.260830866049,0.247740049974,0.254559420559,0.166951057761,0.319281552425,0.792522474212
47,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
47,stdRate,0.130170993508,0.189398708349,,,,
48,meanRate,0.0350928874605,0.134659662879,-0.0469854372175,0.0213514651469,-0.0676332748218,-0.170502309231
48,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
48,stdRate,0.084376954777,0.379978432722,,,,
49,meanRate,0.045522958376,0.0225674297814,-0.0884629789046,-0.176702956399,0.145363310173,0.208410486825
49,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
49,stdRate,0.0200561164132,0.0408450230711,,,,
50,meanRate,0.0215948599069,0.0183436001852,-0.0185987769954,-0.111308061278,-0.125549042173,-0.0964066608238
50,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
50,stdRate,0.0656464968671,0.0673607864833,,,,
51,meanRate,0.101836373116,0.183114705837,0.421811841196,0.500605641991,0.120422273271,0.456754122018
51,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
51,stdRate,0.131393222462,0.196458027925,,,,
52,meanRate,0.065025070079,0.0459677309859,0.0174551827663,-0.0725873047735,0.00930516550801,0.208728515108
52,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
52,stdRate,0.0778496809309,0.0482979900717,,,,
53,meanRate,-0.00224745185148,0.0439564216076,-0.00551727849652,-0.0328820486221,0.0161448862483,-0.0905935002727
53,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
53,stdRate,0.0464238972959,0.0946746636004,,,,
54,meanRate,0.00472795053535,-0.0407810476507,0.0687054618425,0.057941079794,-0.0250078251628,-0.0980957172165
54,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
